country,year,percap_emissions
CHN,1970,1.1120121225
RUS,1970,10.0303042851
USA,1970,22.4092566764
RUS,1971,
USA,1971,21.4769215211
CHN,1971,
CHN,1972,1.1297865504
RUS,1972,10.4396993382
USA,1972,22.4433872013
USA,1973,
RUS,1973,11.0115317067
CHN,1973,1.1493541511
CHN,1974,1.1453428111
RUS,1974,11.5137613166
USA,1974,
RUS,1975,
USA,1975,20.90824316
CHN,1975,1.290490018
CHN,1976,
USA,1976,
RUS,1976,12.4444797147
USA,1977,22.6127520557
RUS,1977,12.6345929464
CHN,1977,1.4664421726999999
CHN,1978,1.630912238
RUS,1978,
USA,1978,22.3288343779
RUS,1979,13.5310258138
USA,1979,
CHN,1979,1.6484463960000002
CHN,1980,1.5931109265
RUS,1980,
USA,1980,21.0383012433
USA,1981,20.5225802515
RUS,1981,13.7453769803
CHN,1981,
CHN,1982,1.6054692999
RUS,1982,13.8574380605
USA,1982,19.2737689067
USA,1983,
RUS,1983,14.0124325889
CHN,1983,1.6652594032999999
CHN,1984,1.7925376992
USA,1984,19.738529842
RUS,1984,14.1540145014
USA,1985,19.6745944083
RUS,1985,14.3161311849
CHN,1985,1.7872537677
CHN,1986,
RUS,1986,14.6781944042
USA,1986,
RUS,1987,15.0037276914
USA,1987,19.814765012
CHN,1987,1.9679052798
CHN,1988,
RUS,1988,15.2602307006
USA,1988,20.5374745909
USA,1989,
RUS,1989,15.2513894436
CHN,1989,
CHN,1990,2.126772112
RUS,1990,
USA,1990,
RUS,1991,16.1295188217
USA,1991,
CHN,1991,2.2160615409
CHN,1992,2.291716439
USA,1992,
RUS,1992,
USA,1993,
RUS,1993,13.5306880509
CHN,1993,2.4525653406
CHN,1994,2.5565214145
RUS,1994,
USA,1994,19.8310752263
RUS,1995,11.8967510514
USA,1995,19.7976006279
CHN,1995,2.7935433724000003
CHN,1996,2.7434620344000002
USA,1996,20.1441075154
RUS,1996,
USA,1997,
RUS,1997,10.849749405
CHN,1997,2.794433185
CHN,1998,2.8359800634
RUS,1998,10.910110696
USA,1998,20.8267036186
USA,1999,
RUS,1999,
CHN,1999,2.7522820868
CHN,2000,2.9041820939000003
USA,2000,21.0126181549
RUS,2000,
USA,2001,20.6263138383
RUS,2001,
CHN,2001,
RUS,2002,11.5292890173
CHN,2002,3.2416260544
USA,2002,19.9111727324
CHN,2003,
USA,2003,19.9687524574
RUS,2003,
USA,2004,20.0821970783
CHN,2004,4.2595813514
RUS,2004,
USA,2005,19.9254743047
CHN,2005,
RUS,2005,
RUS,2006,
CHN,2006,
USA,2006,
RUS,2007,12.4575692716
CHN,2007,5.7330404398
USA,2007,19.4964902823
USA,2008,
CHN,2008,5.8758140044000005
RUS,2008,12.3601005745
USA,2009,17.1897216707
RUS,2009,11.6402461687
CHN,2009,6.2721069513
RUS,2010,12.228593669
CHN,2010,6.8281664493
USA,2010,
RUS,2011,12.8134885215
CHN,2011,7.4232064593
USA,2011,17.0213053953
USA,2012,16.1863895271
CHN,2012,7.6044757383
RUS,2012,12.6919361876
CHN,2013,7.9165358998
USA,2013,
RUS,2013,
RUS,2014,12.1337887932
CHN,2014,
USA,2014,16.4258340507
CHN,2015,7.810149363
USA,2015,
RUS,2015,12.1477371558
RUS,2016,
USA,2016,
CHN,2016,7.7857972026999995
USA,2017,15.1856526844
CHN,2017,
RUS,2017,12.1351313888
RUS,2018,
CHN,2018,
USA,2018,15.578855477
CHN,2019,8.4181388675
USA,2019,
RUS,2019,13.1301023639
RUS,2020,12.5911035596
USA,2020,13.4690678252
CHN,2020,8.519901495300001
CHN,2021,8.9365421706
USA,2021,14.3185403085
RUS,2021,13.5265713232
RUS,2022,
CHN,2022,8.8705906138
USA,2022,14.3304861726
CHN,2023,
USA,2023,
RUS,2023,14.3889152826
