country,iso,SP.POP.TOTL
Aruba,533,106277
Afghanistan,4,42239854
Angola,24,36684202
Albania,8,2745972
Andorra,20,80088
United Arab Emirates,784,9516871
Argentina,32,46654581
Armenia,51,2777970
American Samoa,16,43914
Antigua and Barbuda,28,94298
Australia,36,26638544
Austria,40,9132383
Azerbaijan,31,10112555
Burundi,108,13238559
Belgium,56,11822592
Benin,204,13712828
Burkina Faso,854,23251485
Bangladesh,50,172954319
Bulgaria,100,6430370
Bahrain,48,1485509
"Bahamas, The",44,412623
Bosnia and Herzegovina,70,3210847
Belarus,112,9178298
Belize,84,410825
Bermuda,60,63489
Bolivia,68,12388571
Brazil,76,216422446
Barbados,52,281995
Brunei Darussalam,96,452524
Bhutan,64,787424
Botswana,72,2675352
Central African Republic,140,5742315
Canada,124,40097761
Switzerland,756,8849852
Chile,152,19629590
China,156,1410710000
Cote d'Ivoire,384,28873034
Cameroon,120,28647293
"Congo, Dem. Rep.",180,102262808
"Congo, Rep.",178,6106869
Colombia,170,52085168
Comoros,174,852075
Cabo Verde,132,598682
Costa Rica,188,5212173
Cuba,192,11194449
Curacao,531,147862
Cayman Islands,136,69310
Cyprus,196,1260138
Czechia,203,10873689
Germany,276,84482267
Djibouti,262,1136455
Dominica,212,73040
Denmark,208,5946952
Dominican Republic,214,11332972
Algeria,12,45606480
Ecuador,218,18190484
"Egypt, Arab Rep.",818,112716598
Eritrea,232,3748901
Spain,724,48373336
Estonia,233,1366188
Ethiopia,231,126527060
Finland,246,5584264
Fiji,242,936375
France,250,68170228
Faroe Islands,234,53270
"Micronesia, Fed. Sts.",583,115224
Gabon,266,2436566
United Kingdom,826,68350000
Georgia,268,3760365
Ghana,288,34121985
Gibraltar,292,32688
Guinea,324,14190612
"Gambia, The",270,2773168
Guinea-Bissau,624,2150842
Equatorial Guinea,226,1714671
Greece,300,10361295
Grenada,308,126183
Greenland,304,56865
Guatemala,320,17602431
Guam,316,172952
Guyana,328,813834
"Hong Kong SAR, China",344,7536100
Honduras,340,10593798
Croatia,191,3853200
Haiti,332,11724763
Hungary,348,9589872
Indonesia,360,277534122
Isle of Man,833,84710
India,356,1428627663
Ireland,372,5262382
"Iran, Islamic Rep.",364,89172767
Iraq,368,45504560
Iceland,352,393600
Israel,376,9756700
Italy,380,58761146
Jamaica,388,2825544
Jordan,400,11337052
Japan,392,124516650
Kazakhstan,398,19900177
Kenya,404,55100586
Kyrgyz Republic,417,7100800
Cambodia,116,16944826
Kiribati,296,133515
St. Kitts and Nevis,659,47755
"Korea, Rep.",410,51712619
Kuwait,414,4310108
Lao PDR,418,7633779
Lebanon,422,5353930
Liberia,430,5418377
Libya,434,6888388
St. Lucia,662,180251
Liechtenstein,438,39584
Sri Lanka,144,22037000
Lesotho,426,2330318
Lithuania,440,2871897
Luxembourg,442,668606
Latvia,428,1881750
"Macao SAR, China",446,704149
St. Martin (French part),663,32077
Morocco,504,37840044
Monaco,492,36297
Moldova,498,2486891
Madagascar,450,30325732
Maldives,462,521021
Mexico,484,128455567
Marshall Islands,584,41996
North Macedonia,807,1811980
Mali,466,23293698
Malta,470,553214
Myanmar,104,54577997
Montenegro,499,616177
Mongolia,496,3447157
Northern Mariana Islands,580,49796
Mozambique,508,33897354
Mauritania,478,4862989
Mauritius,480,1261041
Malawi,454,20931751
Malaysia,458,34308525
Namibia,516,2604172
New Caledonia,540,267940
Niger,562,27202843
Nigeria,566,223804632
Nicaragua,558,7046310
Netherlands,528,17879488
Norway,578,5519594
Nepal,524,30896590
Nauru,520,12780
New Zealand,554,5223100
Oman,512,4644384
Pakistan,586,240485658
Panama,591,4468087
Peru,604,34352719
Philippines,608,117337368
Palau,585,18058
Papua New Guinea,598,10329931
Poland,616,36685849
Puerto Rico,630,3205691
"Korea, Dem. People's Rep.",408,26160821
Portugal,620,10525347
Paraguay,600,6861524
West Bank and Gaza,275,5165775
French Polynesia,258,308872
Qatar,634,2716391
Romania,642,19056116
Russian Federation,643,143826130
Rwanda,646,14094683
Saudi Arabia,682,36947025
Sudan,729,48109006
Senegal,686,17763163
Singapore,702,5917648
Solomon Islands,90,740424
Sierra Leone,694,8791092
El Salvador,222,6364943
San Marino,674,33642
Somalia,706,18143378
Serbia,688,6618026
South Sudan,728,11088796
Sao Tome and Principe,678,231856
Suriname,740,623236
Slovak Republic,703,5426740
Slovenia,705,2120937
Sweden,752,10536632
Eswatini,748,1210822
Sint Maarten (Dutch part),534,41163
Seychelles,690,119773
Syrian Arab Republic,760,23227014
Turks and Caicos Islands,796,46062
Chad,148,18278568
Togo,768,9053799
Thailand,764,71801279
Tajikistan,762,10143543
Turkmenistan,795,6516100
Timor-Leste,626,1360596
Tonga,776,107773
Trinidad and Tobago,780,1534937
Tunisia,788,12458223
Turkiye,792,85326000
Tuvalu,798,11396
Tanzania,834,67438106
Uganda,800,48582334
Ukraine,804,37000000
Uruguay,858,3423108
United States,840,334914895
Uzbekistan,860,36412350
St. Vincent and the Grenadines,670,103698
"Venezuela, RB",862,28838499
British Virgin Islands,92,31538
Virgin Islands (U.S.),850,104917
Viet Nam,704,98858950
Vanuatu,548,334506
Samoa,882,225681
"Yemen, Rep.",887,34449825
South Africa,710,60414495
Zambia,894,20569737
Zimbabwe,716,16665409
